use_year	permit_number	permit_holder_name	pod_index	use_type	reported_acft	reported_acres	reported_rate	kwhrs	kwh_demand	begin_meter	end_meter	meter_units	comments	crop_type1	crop_type2	reported_inches	use_january	use_february	use_march	use_april	use_may	use_june	use_july	use_august	use_september	use_october	use_november	use_december	total_use
2015	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3824315.0	3524933.0	3821907.0	3840976.0	4886894.0	4455738.0	4492316.0	5329409.0	4447109.0	4183463.0	4158638.0	4464037.0	51429735.0
2016	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4433609.0	4285726.0	4556552.0	4200661.0	5136583.0	4642813.0	4847298.0	4674673.0	3403693.0	3422299.0	3067169.0	3153763.0	49824839.0
2017	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						3054061.0	2799630.0	3200215.0	3304138.0	3504143.0	3804976.0	4023314.0	3745697.0	3774298.0	3991825.0	5409107.0	5264733.0	45876137.0
2018	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						6247033.0	5176761.0	6079182.0	6525531.0	7922282.0	7659600.0	8397393.0	9318100.0	5385730.0	5046938.0	4777264.0	4983062.0	77518876.0
2019	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4477520.0	5073209.0	5218418.0	4925780.0	5559330.0	5754442.0	5719056.0	6035431.0	3978731.0	3293000.0	4733000.0	2200000.0	56967917.0
2020	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						4279000.0	3995000.0	3507000.0	3751000.0	4051000.0	4656000.0	4752000.0	4308000.0	4707000.0	4726000.0	3671000.0	4482000.0	50885000.0
2021	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36433210.0
2023	1212P	LARIMORE, CITY OF	-1	Municipal	0.0	0.0	0.0	0	0	0.0	0.0						5525800.0	4899020.0	2812010.0	2256260.0	5393730.0	9948940.0	7281480.0	5614710.0	1920120.0	4014620.0	623420.0	139330.0	50429440.0
1979	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2500000.0	2700000.0	2600000.0	3700000.0	3000000.0	3100000.0	3400100.0	4602000.0	3450000.0	3000000.0	2645800.0	2555400.0	37253300.0
1980	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2500000.0	2400000.0	2480000.0	2651200.0	2500000.0	3060000.0	3050000.0	3000000.0	2500000.0	2450000.0	2540000.0	2550000.0	31681200.0
1981	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2200000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2200000.0
1982	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2618500.0	2500000.0	2481000.0	2380000.0	2205000.0	2430000.0	2500000.0	2326000.0	2148000.0	2114000.0	2500000.0	2326000.0	28528500.0
1983	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2201000.0	1953000.0	2399000.0	2220000.0	2470000.0	2740000.0	2626000.0	2651000.0	2280000.0	2300000.0	2057000.0	2151000.0	28048000.0
1984	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2150000.0	2676000.0	2200000.0	2500000.0	1573000.0	3191000.0	2663000.0	2770000.0	2526080.0	2907920.0	2087000.0	2137000.0	29381000.0
1985	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						2403000.0	2200000.0	2230000.0	4265000.0	3000000.0	2500000.0	1390000.0	2400000.0	2500000.0	2200000.0	2999900.0	2500000.0	30587900.0
1986	1563	EAST CENTRAL REGIONAL WATER DISTRICT	-1	Rural Water	0.0	0.0	0.0	0	0	0.0	0.0						4932000.0	2510000.0	2000000.0	5775000.0	2740000.0	31430000.0	243000.0	2840000.0	2386000.0	2294000.0	2214000.0	2467000.0	61831000.0
