stage	SHIFT	flow_cfs	STOR
8.64	0.00	5845.35	
8.65	0.00	5881.08	
8.66	0.00	5916.98	
8.67	0.00	5953.05	
8.68	0.00	5989.28	
8.69	0.00	6025.67	
8.70	0.00	6062.23	
8.71	0.00	6098.96	
8.72	0.00	6135.85	
8.73	0.00	6172.92	
8.74	0.00	6210.15	
8.75	0.00	6247.55	
8.76	0.00	6285.12	
8.77	0.00	6322.86	
8.78	0.00	6360.77	
8.79	0.00	6398.85	
8.80	0.00	6437.10	
8.81	0.00	6475.52	
8.82	0.00	6514.12	
8.83	0.00	6552.89	
8.84	0.00	6591.83	
8.85	0.00	6630.95	
8.86	0.00	6670.24	
8.87	0.00	6709.71	
8.88	0.00	6749.35	
8.89	0.00	6789.17	
8.90	0.00	6829.17	
8.91	0.00	6869.34	
8.92	0.00	6909.69	
8.93	0.00	6950.22	
8.94	0.00	6990.92	
8.95	0.00	7031.81	
8.96	0.00	7072.88	
8.97	0.00	7114.12	
8.98	0.00	7155.55	
8.99	0.00	7197.16	
9.00	0.00	7238.95	
9.01	0.00	7280.92	
9.02	0.00	7323.08	
9.03	0.00	7365.42	
9.04	0.00	7407.94	
9.05	0.00	7450.65	
9.06	0.00	7493.54	
9.07	0.00	7536.62	
9.08	0.00	7579.89	
9.09	0.00	7623.34	
9.10	0.00	7666.98	
9.11	0.00	7710.81	
9.12	0.00	7754.82	
9.13	0.00	7799.03	
9.14	0.00	7843.42	
9.15	0.00	7888.01	
9.16	0.00	7932.78	
9.17	0.00	7977.75	
9.18	0.00	8022.91	
9.19	0.00	8068.26	
9.20	0.00	8113.80	
9.21	0.00	8159.54	
9.22	0.00	8205.47	
9.23	0.00	8251.59	
9.24	0.00	8297.91	
9.25	0.00	8344.43	
9.26	0.00	8391.14	
9.27	0.00	8438.05	
9.28	0.00	8485.15	
9.29	0.00	8532.45	
9.30	0.00	8579.95	
9.31	0.00	8627.65	
9.32	0.00	8675.55	
9.33	0.00	8723.65	
9.34	0.00	8771.95	
9.35	0.00	8820.45	
9.36	0.00	8869.16	
9.37	0.00	8918.06	
9.38	0.00	8967.17	
9.39	0.00	9016.48	
9.40	0.00	9066.00	
9.41	0.00	9115.71	
9.42	0.00	9165.64	
9.43	0.00	9215.77	
9.44	0.00	9266.11	
9.45	0.00	9316.65	
9.46	0.00	9367.40	
9.47	0.00	9418.36	
9.48	0.00	9469.53	
9.49	0.00	9520.90	
9.50	0.00	9572.49	
9.51	0.00	9624.28	
9.52	0.00	9676.29	
9.53	0.00	9728.51	
9.54	0.00	9780.94	
9.55	0.00	9833.58	
9.56	0.00	9886.44	
9.57	0.00	9939.50	
9.58	0.00	9992.79	
9.59	0.00	10046.29	
9.60	0.00	10100.00	*
