xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2948226.357_-151753.852,17,Clay,,2948226.357,-151753.8523,657.2294648,655.2294648,,,bh_317,outside_grid,outside_grid
2948286.754_-222029.46,1,,Wahpeton Shallow Sand,2948286.754,-222029.46,,,922.45,917.45,bh_318,outside_grid,outside_grid
2948305.711_-254337.048,1,Clay,,2948305.711,-254337.0477,959.9281989,850,,,bh_319,WSS,WSS
2948305.711_-254337.048,1,Clay,,2948305.711,-254337.0477,850,739.9281989,,,bh_319,DC,DC
2948305.711_-254337.048,2,Bedrock,,2948305.711,-254337.0477,739.9281989,719.9281989,,,bh_319,DC,DC
2948305.711_-254337.048,3,Aquifer,,2948305.711,-254337.0477,719.9281989,709.9281989,,,bh_319,WR,WR
2948324.11_-221339.716,1,,Wahpeton Buried Valley,2948324.11,-221339.7157,,,786.61,780.61,bh_320,outside_grid,outside_grid
2948325.888_-221342.413,1,Clay,,2948325.888,-221342.4131,966.9493853,960.9493853,,,bh_321,WSS,WSS
2948325.888_-221342.413,2,Aquifer,,2948325.888,-221342.4131,960.9493853,958.9493853,,,bh_321,WSS,WSS
2948325.888_-221342.413,3,Clay,,2948325.888,-221342.4131,958.9493853,953.9493853,,,bh_321,WSS,WSS
2948325.888_-221342.413,4,Aquifer,,2948325.888,-221342.4131,953.9493853,948.9493853,,,bh_321,WSS,WSS
2948325.888_-221342.413,5,Clay,,2948325.888,-221342.4131,948.9493853,892.9493853,,,bh_321,WSS,WSS
2948325.888_-221342.413,6,Aquifer,Wahpeton,2948325.888,-221342.4131,892.9493853,702.9493853,,,bh_321,WBV,WBV
2948325.888_-221342.413,7,Bedrock,,2948325.888,-221342.4131,702.9493853,686.9493853,,,bh_321,DC,DC
2948531.564_-223838.145,1,,Wahpeton Buried Valley,2948531.564,-223838.1447,,,730.4,724.4,bh_322,outside_grid,outside_grid
2948533.338_-223840.838,1,Clay,,2948533.338,-223840.8377,978.1269831,976.1269831,,,bh_323,WSS,WSS
2948533.338_-223840.838,2,Aquifer,,2948533.338,-223840.8377,976.1269831,964.1269831,,,bh_323,WSS,WSS
2948533.338_-223840.838,3,Clay,,2948533.338,-223840.8377,964.1269831,862.1269831,,,bh_323,WSS,WSS
2948533.338_-223840.838,4,Aquifer,,2948533.338,-223840.8377,862.1269831,857.1269831,,,bh_323,WBV,WBV
2948533.338_-223840.838,5,Clay,,2948533.338,-223840.8377,857.1269831,836.1269831,,,bh_323,WBV,WBV
2948533.338_-223840.838,6,Aquifer,,2948533.338,-223840.8377,836.1269831,820.1269831,,,bh_323,WBV,WBV
2948533.338_-223840.838,7,Clay,Wahpeton,2948533.338,-223840.8377,820.1269831,771.1269831,,,bh_323,WBV,WBV
2948533.338_-223840.838,8,Aquifer,Wahpeton,2948533.338,-223840.8377,771.1269831,722.1269831,,,bh_323,WBV,WBV
2948533.338_-223840.838,9,Clay,,2948533.338,-223840.8377,722.1269831,714.1269831,,,bh_323,DC,DC
2948533.338_-223840.838,10,Bedrock,,2948533.338,-223840.8377,714.1269831,713.1269831,,,bh_323,DC,DC
2948538.978_-222017.475,1,,Wahpeton Shallow Sand,2948538.978,-222017.4747,,,924.79,919.79,bh_324,outside_grid,outside_grid
2948669.149_-223547.594,1,Clay,,2948669.149,-223547.5943,978.9534302,958.9534302,,,bh_325,drop,drop
2948669.149_-223547.594,2,Aquifer,,2948669.149,-223547.5943,958.9534302,952.9534302,,,bh_325,drop,drop
2948669.149_-223547.594,3,Clay,,2948669.149,-223547.5943,952.9534302,943.9534302,,,bh_325,drop,drop
2948669.149_-223547.594,4,Aquifer,,2948669.149,-223547.5943,943.9534302,940.9534302,,,bh_325,drop,drop
2948669.149_-223547.594,5,Clay,,2948669.149,-223547.5943,940.9534302,938.9534302,,,bh_325,drop,drop
2948701.442_-220439.086,1,Clay,,2948701.442,-220439.0855,963.8911815,947.8911815,,,bh_326,drop,drop
2948701.442_-220439.086,2,Aquifer,,2948701.442,-220439.0855,947.8911815,933.8911815,,,bh_326,drop,drop
2948701.442_-220439.086,3,Clay,,2948701.442,-220439.0855,933.8911815,931.8911815,,,bh_326,drop,drop
2948713.384_-221461.094,1,,Wahpeton Sand Plain,2948713.384,-221461.0939,,,857.56,852.56,bh_327,outside_grid,outside_grid
2948713.384_-221461.094,2,,Wahpeton Shallow Sand,2948713.384,-221461.0939,,,933.07,923.07,bh_327,outside_grid,outside_grid
2948715.161_-221463.791,1,Clay,,2948715.161,-221463.7912,969.0439566,948.0439566,,,bh_328,drop,drop
2948715.161_-221463.791,2,Aquifer,,2948715.161,-221463.7912,948.0439566,919.0439566,,,bh_328,drop,drop
2948715.161_-221463.791,3,Bedrock,,2948715.161,-221463.7912,919.0439566,918.0439566,,,bh_328,drop,drop
