site_index,date_meas,gwe_navd88,dtw_ft,mp_elev_navd88,loc_id,aquifer,purpose,elev_type,total_depth,top_screen_depth,bottom_screen_depth,x_2265,y_2265,lse_navd88
939,25526,953.3,7.92,961.22,13304716CDB,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,190,149,155,2952542.785,-220043.4574,960.22
941,25525,952.87,6.26,959.13,13304717ADD,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,190,149,155,2950782.926,-218379.7631,958.13
942,26093,957.14,5.39,962.53,13304717CCC1,Wahpeton Sand Plain,Observation Well - Plugged,Survey 0.01 ft,320,118,121,2945681.639,-221064.71,960.34
943,27290,946.26,15.67,961.93,13304717CCC2,Wahpeton Shallow Sand,Observation Well - Plugged,Survey 0.01 ft,60,48,51,2945681.639,-221064.71,959.81
944,23650,942.8,23.62,966.42,13304717DDD,Wahpeton Shallow Sand,Observation Well,Topographic Map,105,60,80,2950539.818,-221040.1253,964.82
946,25526,958.29,12.13,970.42,13304721BCB,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,220,189,195,2951125.193,-222612.3946,967.92
947,25525,958.93,7.29,966.22,13304721CBA,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,260,258,261,2952043.653,-224312.8293,965.22
948,25525,958.72,12.11,970.83,13304721CBB1,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,310,258,261,2951224.989,-223900.5251,969.13
949,25525,958.73,9.99,968.72,13304721CBB2,Wahpeton Buried Valley,Observation Well - Destroyed,Survey 0.1 ft,260,248,251,2951602.143,-224056.0701,967.62
952,32021,912.99,46.8,959.79,13304728DCD1,Wahpeton Buried Valley,Observation Well - Plugged,Survey 0.01 ft,260,238,243,2954573.767,-231210.2634,957.59
953,32021,931.56,29.27,960.83,13304728DCD3,Wahpeton Shallow Sand,Observation Well - Plugged,Global Position Survey,70,60,65,2954569.566,-231137.4145,958.5
963,31302,915.6,20.25,935.85,13504817CCC,Undefined,Observation Well,Survey 0.1 ft,200,152,157,2910834.367,-159157.2933,933.75
1463,36013,913.75,42.98,956.73,13304707CBB3,Wahpeton Buried Valley,Observation Well,Global Position Survey,287,242,272,2940045.346,-214114.4906,954.35
1474,35305,912.43,43.27,955.7,13304707CBB4,Wahpeton Buried Valley,Observation Well - PRESENS,Global Position Survey,175,162,167,2940045.346,-214114.4906,953.84
1479,35305,913.61,42.08,955.69,13304707CBB5,Wahpeton Sand Plain,Observation Well,Global Position Survey,86,71,76,2940045.346,-214114.4906,953.83
1636,35305,921.99,21.88,943.87,13404821BBB2,Wahpeton Buried Valley,Observation Well,Survey 0.01 ft,260,250,255,2918290.305,-191236.2751,942.02
