Permits,Pods,Well,use_type,x_2265,y_2265,x_2266,y_2266,total_dept,top_screen,bottom_scr,use_acft,days,cfd,well_flag,status
[4881],[15105415D],DUMMY_15105415D,Irrigation,2693666.08989149,339585.437086772,2693793.1665146006,825563.1824094434,,,,92.0,365.0,10979.506849315068,dummy well,Deferred
[4947],[15105416C],DUMMY_15105416C,Irrigation,2685722.7864117594,339292.78628273495,2685848.3283556746,825276.497425498,,,,105.0,365.0,12530.95890410959,dummy well,Deferred
[4947],[15105422A],DUMMY_15105422A,Irrigation,2693749.927213701,336950.3239118975,2693875.0114624472,822927.5734702905,,,,105.0,365.0,12530.95890410959,dummy well,Deferred
[4947],[15105422BE],DUMMY_15105422BE,Irrigation,2691768.153106823,336877.07135569793,2691892.859556727,822855.815653989,,,,105.0,365.0,12530.95890410959,dummy well,Deferred
[4881],[15105422BW],DUMMY_15105422BW,Irrigation,2690447.2394316187,336820.24411268986,2690571.6880825227,822799.981109804,,,,20.0,365.0,2386.849315068493,dummy well,Deferred
[5606],[15105424C],DUMMY_15105424C,Irrigation,2701409.1591713508,335003.59564013884,2701533.989505043,820974.669725117,,,,113.9,365.0,13593.106849315069,dummy well,Deferred
[5606],[15105425A],DUMMY_15105425A,Irrigation,2702438.5112566273,331261.19893856236,2702560.623886571,817230.8887079329,,,,113.9,365.0,13593.106849315069,dummy well,Deferred
[4892],[15105425B],DUMMY_15105425B,Irrigation,2701895.756999479,331978.291221739,2702018.3367230017,817948.511149954,,,,42.0,365.0,5012.3835616438355,dummy well,Deferred
[5606],[15105425C],DUMMY_15105425C,Irrigation,2701990.739635844,329345.54541845655,2702111.3079191116,815315.2825861119,,,,113.9,365.0,13593.106849315069,dummy well,Deferred
[5687],[15105425D],DUMMY_15105425D,Irrigation,2704576.2884520157,328870.8470509452,2704696.8887215625,814838.5177930054,,,,27.439999999999998,365.0,3274.7572602739724,dummy well,Deferred
[4905],[15105426A],DUMMY_15105426A,Irrigation,2699248.134856312,331881.0799622816,2699370.224254749,817853.3186316605,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[4905],[15105426C],DUMMY_15105426C,Irrigation,2696699.3969847145,329138.15892645915,2696818.99020066,815111.9217236785,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[5606],[15105426D],DUMMY_15105426D,Irrigation,2699348.4051433215,329243.2765533078,2699468.4873568127,815215.027870707,,,,113.9,365.0,13593.106849315069,dummy well,Deferred
[4912],[15105428A],DUMMY_15105428A,Irrigation,2688674.3407497555,331464.13801497215,2688794.4527455927,817444.36102066,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[4912],[15105428B],DUMMY_15105428B,Irrigation,2686026.541475848,331363.7771602892,2686146.16208598,817345.981792273,,,,27.8,365.0,3317.7205479452055,dummy well,Deferred
[4904],[15105432D],DUMMY_15105432D,Irrigation,2683670.0138029694,323348.0468102292,2683783.249880842,809330.7974250331,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[4905],[15105435B],DUMMY_15105435B,Irrigation,2696802.259241846,326471.5734966006,2696919.8307422185,812444.8501882656,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[5080],[15105436B],DUMMY_15105436B,Irrigation,2702093.511761524,326683.8702769488,2702212.047283017,812653.1215846395,,,,28.0,365.0,3341.5890410958905,dummy well,Deferred
[5080],[15105436C],DUMMY_15105436C,Irrigation,2702196.971656147,324035.9296208802,2702313.4848086117,810004.7040171504,,,,27.400000000000002,365.0,3269.9835616438354,dummy well,Deferred
[4997],[15105502A],DUMMY_15105502A,Irrigation,2666874.4630831606,351860.64645868976,2667006.0997926593,837860.533551841,,,,144.0,365.0,17185.31506849315,dummy well,Deferred
[4997],[15105502B],DUMMY_15105502B,Irrigation,2664223.1298301653,351774.50414898165,2664354.2281586295,837776.3173837025,,,,144.0,365.0,17185.31506849315,dummy well,Deferred
[5078],[15105503A],DUMMY_15105503A,Irrigation,2661586.763587203,351703.04127995024,2661717.337108966,837706.7650017135,,,,60.0,365.0,7160.54794520548,dummy well,Deferred
