Site_Index,Location,group_number,group,index_well_flag,Aquifer,drop_flag,drop_note,Purpose,Count,First Date,Last Date,Top Screen,Bot Screen,lat,lon,x_2265,y_2265,x_2266,y_2266,wl_avg_1965,wl_avg_2023
12169,15405613BBC,110,110A,FALSE,Elk Valley,FALSE,,Observation Well,253,5/31/1990,11/26/2024,43,48,48.162392,-97.795249,2628460.178,435595.5301,2628643.092,921641.6473,,1128.826667
13228,15405625AAA,111,111A,FALSE,Elk Valley,FALSE,,Observation Well,226,6/19/1991,11/26/2024,50,55,48.135978,-97.775045,2633728.808,426139.9821,2633906.5,912179.9219,,1142.221667
20969,15405625AAA2,111,111B,FALSE,Elk Valley,TRUE,<15,Observation Well - Plugged,1,4/15/2021,4/15/2021,45,55,48.135978,-97.775045,2633728.808,426139.9821,2633906.5,912179.9219,,
14468,14905403AAA1,112,112A,TRUE,Elk Valley,FALSE,,Observation Well,229,10/20/1992,7/8/2025,34,39,47.757847,-97.539148,2696592.519,290436.4361,2696682.561,776405.0962,,1102.424286
14464,14905404BBB,113,113A,TRUE,Elk Valley,FALSE,,Observation Well,231,10/20/1992,7/8/2025,40,45,47.757768,-97.579406,2686698.728,290029.5472,2686787.336,776005.6524,,1112.074286
5996,14905404CCC,114,114A,FALSE,Elk Valley,FALSE,,Observation Well - Destroyed,28,9/5/1965,11/30/1971,40,43,47.74535,-97.579481,2686852.076,285502.459,2686937.297,771477.9449,1109.158,
31207,14905409ACB,115,115A,FALSE,Elk Valley,TRUE,wl below model bottom,Observation Well,37,7/27/1964,11/30/1976,0,0,47.739881,-97.569025,2689498.584,283606.7311,2689582.663,769580.0188,909.642,
127023,15305502BBB,116,116A,FALSE,Inkster,TRUE,,Observation Well - Plugged,73,11/1/2010,4/15/2021,10,15,48.107677,-97.685999,2655834.688,416605.0857,2656011.178,902626.8455,,
12063,15305514DCC,117,117A,FALSE,Inkster,TRUE,wl below model bottom,Observation Well,258,9/19/1989,10/14/2025,75,80,48.065215,-97.675059,2659073.787,401224.0882,2659239.886,887239.8108,,1119.9375
6115,15405509DCB1,118,118A,FALSE,Inkster,TRUE,,Observation Well - Destroyed,80,7/16/1985,12/7/1994,47,53,48.16853,-97.718303,2647145.976,438502.0249,2647335.988,924535.7267,,
6116,15405509DCB2,118,118B,FALSE,Inkster,TRUE,,Observation Well - Destroyed,54,7/16/1985,5/22/1992,52,57,48.16853,-97.718303,2647145.976,438502.0249,2647335.988,924535.7267,,
6117,15405509DCB3,118,118C,FALSE,Inkster,TRUE,,Observation Well - Destroyed,98,7/16/1985,7/22/1998,56,61,48.16853,-97.718303,2647145.976,438502.0249,2647335.988,924535.7267,,
13152,15405509DCBD,119,119A,FALSE,Inkster,TRUE,,Irrigation Well,133,7/10/1985,6/23/2010,53,73,48.168403,-97.71849,2647102.047,438454.0792,2647292.013,924487.7994,,
6119,15405509DDD,120,120A,FALSE,Inkster,TRUE,,Observation Well - Plugged,268,9/9/1985,7/20/2021,31,36,48.165913,-97.709267,2649384.09,437627.7824,2649574.081,923659.6417,,
131317,15405509DDD2,120,120B,FALSE,Inkster,TRUE,,Observation Well - PRESENS,18598,8/17/2021,10/28/2025,31,36,48.165906,-97.709284,2649380.037,437625.0803,2649570.024,923656.9417,,1099.13146
