Site_Index	Unit	Begin_Interval	End_Interval	Description
3407	GRAVEL	124	145	fine to coarse, subangular to subrouneded, about 55 percent quartz, 15 percent carbonates, 15 percent detrital shale
3407	SAND	145	160	Slightly to moderately gravelly (approximately 20 to 40% gravel) (fine to coarse gravel), very fine- to very coarse-grained), subangular to rounded, moderately well sorted, approximately 50 to 60% quartz, 10 to 20% carbonates, 10 to 20% shale, granitics, lignite and siliceous rocks-taking some water, not caving in-probably stratified
3407	GRAVEL	160	184	fine to very coarse, subangular to rounded, fair to good sorting, about 35 percent carbonates, 20 percent detrital shale, and 25 percent granitics, detrital lignite and siliceous rocks
3407	SHALE	184	200	grayish-black, siliceous, moderately indurated, bentonitic, slightly fractured 184-195 (Bedrock Pierre Formation)
3408	TOPSOIL	0	1	
3408	SAND	1	21	fine
3408	CLAY	21	36	gray
3408	LIGNITE	36	41	
3408	CLAY	41	155	gray
3408	SAND	155	177	fine
3408	GRAVEL	177	195	medium
3408	GRAVEL	195	215	medium with coal
3408	SAND & GRAVEL	215	260	coarse
3409	SAND	0	58	fine to coarse sand, mostly medium sand, well sorted, subangular to rounded, mostly quartz (40%), also some carbonates, shale, and lignite, coarse bed of lignitic sand at 35 feet, oxidized zone ends at 26 feet,  taking water, mixed mud at 60 feet
3409	GRAVEL	58	66	sandy, fine to coarse gravel, mostly fine gravel, fine to coarse sand, moderately sorted and rounded, mostly shale gravel (390% to 40%)
3409	SILT	66	74	clayey, sandy, light to dark gray clay, medium to coarse sand interbedded 
3409	SILT	74	93	very clayey, very poor return, medium to dark gray, 80% silt
3409	CLAY	93	100	medium to dark gray, very plastic and compact
3409	CLAY	100	118	silty, sandy, pebbles, dark gray, fine to coarse sand and pebbles, till
3409	CLAY	118	136	silty, medium dark gray, very compact, moderately plastic
3409	SAND	136	176	fine to very coarse, mostly medium sand, fairly well sorted, very coarse sand is mostly lignite, fine to medium sand is mostly quartz,
3409	SAND	176	277	as above, mostly coarse to very coarse, some fine gravel, abundant shale pebbles, slightly plastic, taking water
3409	CLAY	277	320	shale, silty, medium light to dark gray with some brownish gray, tight, cohesive, brittle, calcareous, Niobrara formation, bedrock
3410	TOPSOIL	0	1	Silty, clayey, sandy, grayish black
3410	GRAVEL	1	20	Moderately sandy, clayey, silty, fine to coarse, poorly sorted, angular to subrounded, mostly shale and siltstone, some carbonates and granitics, oxidized throughout, taking some water
3410	SAND	20	39	Silty, slightly clayey, very fine- to coarse- grained, fair sorting, subangular to rounded, approximately 50 to 60% quartz, 20 to 30% shale, remainder carbonates, oxidized throughout, taking small amount of water, not caving in
3410	CLAY	39	145	Very silty, olive gray with light olive gray laminations, very cohesive, non-plastic, slightly indurated, very calcareous, (fluvial sediment)
3410	SAND	145	174	Very fine- to medium-grained, interbedded with thin silty clay lenses and layers throughout section, subangular to rounded, moderately well sorted, approximately 60 to 70% quartz, 10 to 20% shale and carbonates, remainder lignite and granitics, not taking water, not caving in
3410	CLAY	174	180	Very silty, interbedded with thin layers and lenses of very fine-grained sand, olive gray to medium gray with a few light olive gray laminations and streaks, cohesive, slightly plastic, very calcareous, (fluvial sediment)
3410	SAND	180	208	Slightly gravelly, interbedded with layers and lenses of silty clay, fine- to very coarse-grained, subangular to rounded, fair sorting, approximately 50 to 60% quartz, 20 to 30% carbonates and shale, remainder granitics, lignite and siliceous rocks-taking a little water, not caving in 
3410	SHALE	208	220	Siliceous, grayish black, non-calcareous, moderately indurated, bentonitic (Pierre Formation)
3411	SAND	0	14	gravelly, fine to coarse sand, fine gravel, mostly medium sand, well sorted, angular to rounded, oxidized
3411	GRAVEL	14	21	sandy, fine to coarse gravel, fine to coarse sand, mostly medium gravel, mostly shale, fair to well sorted, rounded to slightly angular
3411	CLAY	21	25	silty, sandy, medium plastic, dark gray clay, fine to medium sand (15%)
3411	CLAY	25	71	light to dark gray, very plastic, compact
3411	SAND	71	92	very fine to medium, mostly fine sand, very well sorted, mostly quartz, some lignite fragments
3411	SAND	92	94	coarse sand with layers of lignite
3411	CLAY	94	142	silty, dark gray, clay, 10 to 20 % silt, very plastic and cohesive, very compact at 135 feet
3411	SAND	142	150	very fine to medium sand, mostly fine sand, very well sorted
3411	SAND AND CLAY	150	162	interbedded, fine sand and gray clay, moderately compact
3411	SAND	162	172	coarse lignitic sand interbedded with dark gray clay
3411	SAND	172	181	as above, interbedded, more lignite
3411	SAND	181	187	fine to medium, mostly medium, well sorted, subrounded
3411	GRAVEL	187	300	sandy, fine to medium gravel, medium to coarse sand, mostly fine gravel, mostly quartz, shale and carbonates, some lignite, moderately well sorted, subrounded, bed of medium gravel, lignite fragments at 250 feet, some clay layers at 290 feet
3411	CLAY	300	320	silty, dark gray clay, very compact, plastic (Niobrara) bedrock
3412	TOPSOIL	0	1	
3412	CLAY	1	14	yellow silty, with sand
3412	TILL	14	40	
3412	SAND	40	50	very fine, green
